STACST,TIME,P,T1,T2,C1,C2,SBE43F,SBE43U,S1,S2,Cstar,V0,V1,V2,V3,V4,V5,V6,V7,DepthSM,Lat,Lon,Scan
VARCHAR,sec,dbar,degC,degC,mS/cm,mS/cm,volt,uMol/Kg,PSU,PSU,%,volt,volt,volt,volt,volt,volt,volt,volt,m,deg,deg,count
01401.cnv,           0,   0.000, 24.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   0.000,10043.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   0.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   0.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   1.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   2.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   3.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   4.000,  0.0000,  0.0000, 0.0000, 2.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   5.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   6.000,  0.0000,  0.0000, 0.0000, 2.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   7.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000, 43.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   8.000,  0.0000,  0.0000, 0.0000, 0.0000,43.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   9.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  10.000,  0.0000,  0.0000, 0.0000, 0.0000,2.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  11.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  12.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  13.000,  0.0000,  0.0000, 0.0000, 1.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  14.000,  0.0000,  0.0000, 0.0000, 2.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  15.000,  0.0000,  0.0000, 0.0000, 3.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  16.000,  0.0000,  0.0000, 0.0000, 4.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  17.000,  0.0000,  0.0000, 0.0000, 5.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  18.000,  0.0000,  0.0000, 0.0000, 6.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  19.000,  0.0000,  0.0000, 0.0000, 7.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  20.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  21.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  22.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  23.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   0.000,  0.0000,  1.0000,10043.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   1.000,  0.0000,1456118217.0000,1456118636.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   2.000,  0.0000, -3.7530, 2.6200, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   3.000,  0.0000,  2.4789, 3.0533, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   4.000,  0.0000,  2.5249, 3.2939, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   5.000,  0.0000,  0.0000, 0.0134, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   6.000,  0.0000,  0.0085, 0.1053, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   7.000,  0.0000,  2.3370, 2.4664, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   8.000,  0.0000,412.7680,442.0630, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   9.000,  0.0000,  0.0001, 0.0096, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  10.000,  0.0000,  0.0061, 0.0840, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  11.000,  0.0000, 73.3528,84.2091, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  12.000,  0.0000,  3.4322, 3.9316, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  13.000,  0.0000,  0.0000, 5.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  14.000,  0.0000,  0.0659, 0.1001, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  15.000,  0.0000,  0.1929, 1.4689, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  16.000,  0.0000,  0.0000, 5.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  17.000,  0.0000,  2.3370, 2.4664, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  18.000,  0.0000,  1.5458, 1.5617, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  19.000,  0.0000,  0.5201, 0.5983, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  20.000,  0.0000, -3.7170, 2.5940, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  21.000,  0.0000,-62.0000,-61.9998, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  22.000,  0.0000, 82.0007,82.0014, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,  23.000,  0.0000,  0.0000, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
01401.cnv,           0,   0.000,  0.0000,  0.0417, 0.0000, 0.0000,0.0000,  0.000, 0.0000, 0.0000,  0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,   0.000,   0.00000,   0.00000,     0
